model,mechanism,A,B,C,D,development_or_holdout,TP,FP,FN,precision,recall,F1,FP_gt,FP_al,TiTv,het_hom,query_total,query_unk,pb_evaluations,pb_fraction,notes
V2.x_D,D,0,0,0,1,holdout (never used for fitting; hap.py on holdout BED),33257,882,773,0.974164,0.977285,0.975722,18,60,2.212369463449766,1.7749436192549966,71366,37227,707,1.2570520933588943e-05,V2 + 1 dev-fitted hard veto on a local-context feature; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_D,D,0,0,0,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69638,1728,1695,0.975787,0.976238,0.976012,31,107,2.212369463449766,1.7749436192549966,71366,0,707,1.2570520933588943e-05,V2 + 1 dev-fitted hard veto on a local-context feature; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_A+B,A+B,1,1,0,0,development (fitted on this region; hap.py on dev BED),36582,188,721,0.994887,0.980672,0.987728,17,36,2.300918979744936,1.7252738745016063,70402,33632,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_A+B,A+B,1,1,0,0,holdout (never used for fitting; hap.py on holdout BED),33421,211,609,0.993726,0.982104,0.987881,21,54,2.300918979744936,1.7252738745016063,70402,36770,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_A+B,A+B,1,1,0,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70003,399,1330,0.994333,0.981355,0.987801,38,90,2.300918979744936,1.7252738745016063,70402,0,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_A+C,A+C,1,0,1,0,development (fitted on this region; hap.py on dev BED),36576,49,727,0.998662,0.980511,0.989503,15,14,2.3067967571644044,1.7178940843760897,70157,33532,33,5.867428441420581e-07,logistic on Binomial outputs + cheap read evidence; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A+C,A+C,1,0,1,0,holdout (never used for fitting; hap.py on holdout BED),33410,122,620,0.996362,0.981781,0.989017,21,23,2.3067967571644044,1.7178940843760897,70157,36625,33,5.867428441420581e-07,logistic on Binomial outputs + cheap read evidence; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A+C,A+C,1,0,1,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69986,171,1347,0.997563,0.981117,0.989271,36,37,2.3067967571644044,1.7178940843760897,70157,0,33,5.867428441420581e-07,logistic on Binomial outputs + cheap read evidence; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A+D,A+D,1,0,0,1,development (fitted on this region; hap.py on dev BED),36587,193,716,0.994753,0.980806,0.98773,17,36,2.300388959182717,1.7262416289242442,70427,33647,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A (byte-identical VCF)
V2.x_A+D,A+D,1,0,0,1,holdout (never used for fitting; hap.py on holdout BED),33422,225,608,0.993313,0.982133,0.987692,21,56,2.300388959182717,1.7262416289242442,70427,36780,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A (byte-identical VCF)
V2.x_A+D,A+D,1,0,0,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70009,418,1324,0.994065,0.981439,0.987712,38,92,2.300388959182717,1.7262416289242442,70427,0,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A (byte-identical VCF)
V2.x_B+C,B+C,0,1,1,0,development (fitted on this region; hap.py on dev BED),36512,80,791,0.997814,0.978795,0.988213,20,18,2.30326865109269,1.7176734994381369,70135,33543,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_C (byte-identical VCF)
V2.x_B+C,B+C,0,1,1,0,holdout (never used for fitting; hap.py on holdout BED),33390,153,640,0.995439,0.981193,0.988265,21,29,2.30326865109269,1.7176734994381369,70135,36592,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_C (byte-identical VCF)
V2.x_B+C,B+C,0,1,1,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69902,233,1431,0.996678,0.979939,0.988238,41,47,2.30326865109269,1.7176734994381369,70135,0,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_C (byte-identical VCF)
V2.x_B+D,B+D,0,1,0,1,development (fitted on this region; hap.py on dev BED),36377,785,926,0.978876,0.975176,0.977023,13,44,2.22229763359124,1.7691111283925656,71216,34054,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_B+D,B+D,0,1,0,1,holdout (never used for fitting; hap.py on holdout BED),33256,798,774,0.976567,0.977255,0.976911,18,55,2.22229763359124,1.7691111283925656,71216,37162,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_B+D,B+D,0,1,0,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69633,1583,1700,0.977772,0.976168,0.976969,31,99,2.22229763359124,1.7691111283925656,71216,0,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_C+D,C+D,0,0,1,1,development (fitted on this region; hap.py on dev BED),36575,93,728,0.997464,0.980484,0.988901,21,17,2.306856147945979,1.722321221042845,70274,33606,33,5.867428441420581e-07,logistic on Binomial outputs + local context; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_C+D,C+D,0,0,1,1,holdout (never used for fitting; hap.py on holdout BED),33416,190,614,0.994346,0.981957,0.988113,21,32,2.306856147945979,1.722321221042845,70274,36668,33,5.867428441420581e-07,logistic on Binomial outputs + local context; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_C+D,C+D,0,0,1,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69991,283,1342,0.995973,0.981187,0.988525,42,49,2.306856147945979,1.722321221042845,70274,0,33,5.867428441420581e-07,logistic on Binomial outputs + local context; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_A+B+C,A+B+C,1,1,1,0,development (fitted on this region; hap.py on dev BED),36576,49,727,0.998662,0.980511,0.989503,15,14,2.3067967571644044,1.7178940843760897,70157,33532,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A_C (byte-identical VCF)
V2.x_A+B+C,A+B+C,1,1,1,0,holdout (never used for fitting; hap.py on holdout BED),33410,122,620,0.996362,0.981781,0.989017,21,23,2.3067967571644044,1.7178940843760897,70157,36625,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A_C (byte-identical VCF)
V2.x_A+B+C,A+B+C,1,1,1,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69986,171,1347,0.997563,0.981117,0.989271,36,37,2.3067967571644044,1.7178940843760897,70157,0,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A_C (byte-identical VCF)
V2.x_A+B+D,A+B+D,1,1,0,1,development (fitted on this region; hap.py on dev BED),36582,188,721,0.994887,0.980672,0.987728,17,36,2.300918979744936,1.7252738745016063,70402,33632,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A_B (byte-identical VCF)
V2.x_A+B+D,A+B+D,1,1,0,1,holdout (never used for fitting; hap.py on holdout BED),33421,211,609,0.993726,0.982104,0.987881,21,54,2.300918979744936,1.7252738745016063,70402,36770,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A_B (byte-identical VCF)
V2.x_A+B+D,A+B+D,1,1,0,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70003,399,1330,0.994333,0.981355,0.987801,38,90,2.300918979744936,1.7252738745016063,70402,0,707,1.2570520933588943e-05,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_A_B (byte-identical VCF)
V2.x_A+C+D,A+C+D,1,0,1,1,development (fitted on this region; hap.py on dev BED),36589,64,714,0.998254,0.980859,0.98948,16,13,2.3077829077546403,1.7197753244237846,70211,33558,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_A+C+D,A+C+D,1,0,1,1,holdout (never used for fitting; hap.py on holdout BED),33419,139,611,0.995858,0.982045,0.988903,21,25,2.3077829077546403,1.7197753244237846,70211,36653,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_A+C+D,A+C+D,1,0,1,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70008,203,1325,0.997109,0.981425,0.989205,37,38,2.3077829077546403,1.7197753244237846,70211,0,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_B+C+D,B+C+D,0,1,1,1,development (fitted on this region; hap.py on dev BED),36575,93,728,0.997464,0.980484,0.988901,21,17,2.306856147945979,1.722321221042845,70274,33606,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_C_D (byte-identical VCF)
V2.x_B+C+D,B+C+D,0,1,1,1,holdout (never used for fitting; hap.py on holdout BED),33416,190,614,0.994346,0.981957,0.988113,21,32,2.306856147945979,1.722321221042845,70274,36668,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_C_D (byte-identical VCF)
V2.x_B+C+D,B+C+D,0,1,1,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69991,283,1342,0.995973,0.981187,0.988525,42,49,2.306856147945979,1.722321221042845,70274,0,33,5.867428441420581e-07,; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run; hap.py reused from M_C_D (byte-identical VCF)
V2.x_A+B+C+D,A+B+C+D,1,1,1,1,development (fitted on this region; hap.py on dev BED),36588,62,715,0.998308,0.980833,0.989493,16,13,2.307797408716137,1.7196591129188457,70208,33558,36,6.40083102700427e-07,V2.x_ALL: logistic(A+D features) -> confident call; uncertain band -> PB block-min (frozen 10.5); runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A+B+C+D,A+B+C+D,1,1,1,1,holdout (never used for fitting; hap.py on holdout BED),33419,139,611,0.995858,0.982045,0.988903,21,25,2.307797408716137,1.7196591129188457,70208,36650,36,6.40083102700427e-07,V2.x_ALL: logistic(A+D features) -> confident call; uncertain band -> PB block-min (frozen 10.5); runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A+B+C+D,A+B+C+D,1,1,1,1,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70007,201,1326,0.997137,0.981411,0.989212,37,38,2.307797408716137,1.7196591129188457,70208,0,36,6.40083102700427e-07,V2.x_ALL: logistic(A+D features) -> confident call; uncertain band -> PB block-min (frozen 10.5); runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
